Designator,Footprint,Quantity,Value,LCSC Part #
"C100, C101, C206, C207, C402",C_0603_1608Metric,5,1u,C472462
"C102, C103, C104, C105, C107, C200, C308, C309, C310, C312, C315, C400",C_0603_1608Metric,12,10u,C86275
C106,C_0402_1005Metric,1,DNP,
"C108, C201, C202, C203, C204, C210, C211, C212, C301, C302, C306, C311, C313, C314, C401, C406",C_0402_1005Metric,16,100n,C343047
C205,C_0402_1005Metric,1,10n,C696351
"C208, C209",C_0402_1005Metric,2,10p,C2154389
"C300, C304, C307, C404",C_0402_1005Metric,4,150p,C113789
"C303, C305, C403, C405",C_0402_1005Metric,4,1n,C3010445
D100,LED_0603_1608Metric,1,LED,C601671
D200,LED_Cree-PLCC4_2x2mm_CW,1,LED_RGB_E6C1206RGBC3UDA,C375571
"D201, D202, D203, D204, D205, D300, D400",D_SOD-323,7,"PESD3V3L1BA,115",C51450
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J200,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J201,PinHeader_2x05_P1.27mm_Vertical_SMD,1,2x5 1.27mm,C5160761
"J300, J400",BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,2,031-5640-1010,
"L100, L200",L_0402_1005Metric,2,10n,C445746
L101,L_1210_3225Metric,1,68u,
R100,R_0805_2012Metric,1,10R,
R101,R_0402_1005Metric,1,100k,
"R102, R304, R403",R_0402_1005Metric,3,22k,
"R103, R104, R105, R207, R208, R209, R300, R306, R307",R_0402_1005Metric,9,1k,
"R200, R202, R203, R401",R_0402_1005Metric,4,10k,
"R201, R309, R400",R_0402_1005Metric,3,0R,
R204,R_0402_1005Metric,1,1k5,
"R205, R206",R_0402_1005Metric,2,5k1,
"R210, R211, R212, R213, R308, R405",R_0402_1005Metric,6,49R9,
"R301, R302",R_0402_1005Metric,2,2M2,
"R303, R402",R_0402_1005Metric,2,6k8,
"R305, R404",R_0402_1005Metric,2,12k,
U100,SOT-23,1,MCP1792T-3302H/CB,
U101,SOT-23-5,1,TLV62569DBV,
"U102, U300, U301, U401",SOT-23-5,4,MCP6001UT-I/OT,
U200,LQFP-48_7x7mm_P0.5mm,1,STM32F103CBT6,
U201,SOT-23-6,1,USBLC6-2SC6Y,
U302,SOT-23,1,REF3033AIDBZT,
U303,VSSOP-10,1,ADC141S626,
U400,VSSOP-10,1,DAC7563SDGST,
Y200,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C2857621
